"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"1","Maharashtra","AASHTIKAR PATIL NAGESH BAPURAO (2024-2029)","Elected MP","190289442"
"2","Jammu And Kashmir","ABDUL RASHID SHEIKH (2024-2029)","Elected MP","154773472.11"
"3","Bihar","ABHAY KUMAR SINHA (2024-2029)","Elected MP","147000000"
"4","West Bengal","ABHIJIT GANGOPADHYAY (2024-2029)","Elected MP","147000000"
"5","West Bengal","Abu Taher Khan (2024-2029)","Elected MP","147000000"
"6","West Bengal","ADHIKARI SOUMENDU (2024-2029)","Elected MP","147000000"
"7","Uttar Pradesh","ADITYA YADAV (2024-2029)","Elected MP","147000000"
"8","Kerala","Adv Adoor Prakash  (2024-2029)","Elected MP","147000000"
"9","Kerala","Adv Dean Kuriakose (2024-2029)","Elected MP","147000000"
"10","Maharashtra","ADV GOWAAL KAGADA PADAVI (2024-2029)","Elected MP","147816309.11"
"11","Kerala","ADV K FRANCIS GEORGE (2024-2029)","Elected MP","188722256.11"
"12","Uttar Pradesh","AFZAL ANSARI (2024-2029)","Elected MP","220500000"
"13","Jammu And Kashmir","AGA SYED RUHULLAH MEHDI (2024-2029)","Elected MP","147000000"
"14","Uttarakhand","Ajay Bhatt (2024-2029)","Elected MP","147000000"
"15","Bihar","Ajay Kumar Mandal (2024-2029)","Elected MP","147000000"
"16","Uttarakhand","Ajay Tamta (2024-2029)","Elected MP","147000000"
"17","Uttar Pradesh","AJENDRA SINGH LODHI (2024-2029)","Elected MP","147000000"
"18","Uttar Pradesh","AKHILESH YADAV (2024-2029)","Elected MP","147000000"
"19","Uttar Pradesh","AKSHAYA YADAV (2024-2029)","Elected MP","147000000"
"20","Manipur","ALFRED KANNGAM S ARTHUR (2024-2029)","Elected MP","147000000"
"21","Bihar","Alok Kumar Suman (2024-2029)","Elected MP","147000000"
"22","Madhya Pradesh","ALOK SHARMA (2024-2029)","Elected MP","147000000"
"23","Maharashtra","AMAR SHARADRAO KALE (2024-2029)","Elected MP","147000000"
"24","Assam","AMARSING TISSO (2024-2029)","Elected MP","147000000"
"25","Andhra Pradesh","AMBICA G LAKSHMINARAYANA VALMIKI (2024-2029)","Elected MP","201899064.11"
"26","Maharashtra","Amol Ramsing Kolhe (2024-2029)","Elected MP","147000000"
"27","Rajasthan","AMRARAM (2024-2029)","Elected MP","165691544.11"
"28","Punjab","AMRINDER SINGH RAJA WARRING (2024-2029)","Elected MP","147000000"
"29","Uttar Pradesh","ANAND BHADAURIYA (2024-2029)","Elected MP","147000000"
"30","Uttar Pradesh","ANAND KUMAR (2024-2029)","Elected MP","147000000"
"31","Odisha","ANANTA NAYAK (2024-2029)","Elected MP","147000000"
"32","Tamil Nadu","Andimuthu Raja (2024-2029)","Elected MP","147000000"
"33","Meghalaya","ANDREW J. SYNGKON (2024-2029)","Elected MP","98000000"
"34","Manipur","ANGOMCHA BIMOL AKOIJAM (2024-2029)","Elected MP","147000000"
"35","Uttarakhand","ANIL BALUNI (2024-2029)","Elected MP","147000000"
"36","Maharashtra","ANIL YESHWANT DESAI (2024-2029)","Elected MP","147000000"
"37","Madhya Pradesh","ANITA NAGARSINGH CHOUHAN (2024-2029)","Elected MP","147000000"
"38","Odisha","ANITA SUBHADARSHINI (2024-2029)","Elected MP","147000000"
"39","Jharkhand","Annpurna Devi  (2024-2029)","Elected MP","166665931.8"
"40","Uttar Pradesh","ANOOP PRADHAN BALMIKI (2024-2029)","Elected MP","147000000"
"41","Kerala","Anto Antony (2024-2029)","Elected MP","147000000"
"42","Maharashtra","ANUP SANJAY DHOTRE (2024-2029)","Elected MP","147000000"
"43","Uttar Pradesh","Anurag Sharma  (2024-2029)","Elected MP","147000000"
"44","Himachal Pradesh","Anurag Singh Thakur (2024-2029)","Elected MP","149570117.11"
"45","Andhra Pradesh","Appalanaidu Kalisetti (2024-2029)","Elected MP","147000000"
"46","Bihar","ARUN BHARTI (2024-2029)","Elected MP","194924621.11"
"47","Uttar Pradesh","ARUN GOVIL (2024-2029)","Elected MP","147000000"
"48","Tamil Nadu","ARUN NEHRU (2024-2029)","Elected MP","147000000"
"49","Telangana","ARUNA. D. K (2024-2029)","Elected MP","147000000"
"50","West Bengal","ARUP CHAKRABORTY (2024-2029)","Elected MP","147000000"
"51","Telangana","Arvind Dharmapuri (2024-2029)","Elected MP","281396355.11"
"52","Maharashtra","Arvind Ganpat Sawant (2024-2029)","Elected MP","147000000"
"53","Telangana","Asaduddin Owaisi (2024-2029)","Elected MP","147000000"
"54","Madhya Pradesh","ASHISH DUBEY (2024-2029)","Elected MP","147000000"
"55","Uttar Pradesh","Ashok Kumar Rawat (2024-2029)","Elected MP","147000000"
"56","Bihar","Ashok Kumar Yadav  (2024-2029)","Elected MP","147000000"
"57","West Bengal","Asit Kumar Mal  (2024-2029)","Elected MP","275694456.74"
"58","Uttar Pradesh","ATUL GARG (2024-2029)","Elected MP","155336470"
"59","Odisha","AVIMANYU SETHI (2024-2029)","Elected MP","147000000"
"60","Uttar Pradesh","AWADHESH PRASAD (2024-2029)","Elected MP","147000000"
"61","West Bengal","AZAD KIRTI JHA (2024-2029)","Elected MP","179658399.98"
"62","Andhra Pradesh","B K PARTHASARATHI (2024-2029)","Elected MP","160491894.11"
"63","Uttar Pradesh","BABU SINGH KUSHWAHA (2024-2029)","Elected MP","147000000"
"64","Maharashtra","BACHHAV SHOBHA DINESH (2024-2029)","Elected MP","147000000"
"65","West Bengal","BAG MITALI (2024-2029)","Elected MP","147000000"
"66","Odisha","BAIJAYANT PANDA (2024-2029)","Elected MP","147000000"
"67","Maharashtra","BAJRANG MANOHAR SONWANE (2024-2029)","Elected MP","165899107.19"
"68","Odisha","BALABHADRA MAJHI (2024-2029)","Elected MP","147413962.11"
"69","Andhra Pradesh","Balashowry Vallabbhaneni (2024-2029)","Elected MP","147000000"
"70","Telangana","BALRAM NAIK PORIKA (2024-2029)","Elected MP","147000000"
"71","Maharashtra","BALWANT BASWANT WANKHADE (2024-2029)","Elected MP","198293678"
"72","Maharashtra","BALYA MAMA SURESH GOPINATH MHATRE (2024-2029)","Elected MP","147000000"
"73","Delhi","Bansuri Swaraj (2024-2029)","Elected MP","154306950"
"74","West Bengal","BAPI HALDAR (2024-2029)","Elected MP","147000000"
"75","Karnataka","BASAVARAJ BOMMAI (2024-2029)","Elected MP","147000000"
"76","Andhra Pradesh","BASTIPATI NAGARAJU PANCHALINGALA (2024-2029)","Elected MP","159998515.11"
"77","Rajasthan","Bhagirath Chaudhary (2024-2029)","Elected MP","147000000"
"78","Rajasthan","BHAJAN LAL JATAV (2024-2029)","Elected MP","147000000"
